district_name,state_name,women_bmi_below_normal,women_overweight,anaemia_children,anaemia_women,women_high_blood_sugar,men_high_blood_sugar,women_elevated_bp,men_elevated_bp,tobacco_women,tobacco_men
Nicobars,Andaman & Nicobar Islands,8.2,39.1,37.7,38.4,7.4,9.6,35.4,47.0,63.5,76.8
North & Middle Andaman,Andaman & Nicobar Islands,8.6,35.9,30.4,62.5,7.2,9.1,27.4,32.2,46.8,70.5
South Andaman,Andaman & Nicobar Islands,10.0,39.0,43.4,57.6,7.5,9.3,23.0,26.9,19.6,50.8
Srikakulam,Andhra Pradesh,13.8,27.2,59.6,62.8,8.2,6.8,22.1,22.9,7.1,21.3
Vizianagaram,Andhra Pradesh,16.9,28.8,66.7,64.6,6.2,5.8,25.2,25.1,11.4,21.5
Visakhapatnam,Andhra Pradesh,17.4,23.8,72.6,58.6,6.1,7.3,23.9,29.2,6.3,22.8
East Godavari,Andhra Pradesh,10.2,44.4,66.8,63.2,7.5,9.2,29.0,32.2,3.2,25.5
West Godavari,Andhra Pradesh,10.1,45.3,62.3,63.1,7.3,7.2,28.8,31.4,2.2,21.8
Krishna,Andhra Pradesh,10.5,40.6,65.7,60.4,7.9,8.5,24.0,28.5,1.4,21.3
Guntur,Andhra Pradesh,9.6,46.4,59.3,59.8,7.8,10.7,25.8,31.3,1.6,25.4
Prakasam,Andhra Pradesh,14.4,39.5,62.6,60.6,7.9,11.8,27.8,33.0,2.2,28.2
Sri Potti Sriramulu Nello,Andhra Pradesh,15.2,39.5,67.5,59.6,8.2,7.2,23.0,25.1,4.4,26.5
Y.S.R.,Andhra Pradesh,15.9,33.9,60.6,56.1,8.4,9.9,23.2,27.3,3.1,18.0
Kurnool,Andhra Pradesh,20.6,29.0,70.8,58.3,6.9,9.2,27.0,31.8,2.1,19.9
Anantapur,Andhra Pradesh,21.9,29.3,55.8,50.3,5.4,7.5,23.4,26.7,5.0,20.5
Chittoor,Andhra Pradesh,20.1,33.4,54.9,51.8,6.9,7.2,22.7,27.1,4.3,18.7
Tawang,Arunachal Pradesh,1.2,35.4,89.6,59.2,3.1,5.5,30.3,36.4,5.1,24.0
West Kameng,Arunachal Pradesh,1.9,25.7,66.6,38.4,3.6,8.0,19.8,30.7,13.9,38.7
East Kameng,Arunachal Pradesh,4.8,19.6,51.7,26.9,4.3,6.7,19.5,29.0,24.9,48.2
Papum Pare,Arunachal Pradesh,5.3,31.1,53.4,39.4,4.8,5.3,20.6,32.7,16.1,43.7
Upper Subansiri,Arunachal Pradesh,2.8,25.0,60.4,36.6,3.6,5.3,25.4,37.5,19.8,55.3
Upper Siang,Arunachal Pradesh,2.4,27.3,51.0,29.4,4.0,5.7,26.1,31.7,21.3,59.2
Changlang,Arunachal Pradesh,10.5,17.1,65.3,57.1,5.6,8.2,22.8,27.5,21.9,59.9
Lower Subansiri,Arunachal Pradesh,4.3,23.2,52.4,41.1,4.9,8.3,25.7,36.6,18.0,46.7
Dibang Valley,Arunachal Pradesh,3.8,21.7,88.6,64.3,3.5,5.5,32.2,45.4,20.3,55.4
Lower Dibang Valley,Arunachal Pradesh,4.1,16.8,51.5,35.3,4.6,7.1,25.6,38.1,20.6,52.1
Anjaw,Arunachal Pradesh,2.4,22.8,57.1,36.9,4.0,7.4,31.1,42.6,22.1,66.1
East Siang,Arunachal Pradesh,6.8,27.9,51.5,35.3,5.6,7.8,29.7,38.1,24.7,51.3
Kra Daadi,Arunachal Pradesh,2.0,29.8,62.0,24.3,2.7,5.2,19.4,26.1,9.9,25.0
Kurung Kumey,Arunachal Pradesh,2.7,23.3,62.4,35.5,4.1,7.0,19.2,26.0,16.4,39.4
Lohit,Arunachal Pradesh,8.0,30.9,52.5,47.6,4.0,3.2,22.1,26.6,17.8,53.0
Longding,Arunachal Pradesh,4.0,13.7,38.4,35.0,5.3,7.3,20.5,31.1,16.0,56.1
Namsai,Arunachal Pradesh,12.8,18.0,59.2,58.8,5.6,6.6,27.1,28.1,25.3,68.8
Siang,Arunachal Pradesh,6.5,15.8,24.9,24.4,5.2,4.3,24.4,31.5,19.6,55.5
Tirap,Arunachal Pradesh,5.5,28.3,48.4,32.4,4.6,5.6,25.2,31.6,12.7,44.8
West Siang,Arunachal Pradesh,4.4,27.4,45.6,31.2,4.9,7.7,32.7,41.1,16.9,44.3
Kokrajhar,Assam,10.6,13.7,74.7,59.5,5.9,8.1,17.8,19.4,25.7,55.5
Goalpara,Assam,12.2,15.3,60.7,65.5,6.0,7.7,16.8,17.9,15.6,52.0
Barpeta,Assam,14.6,16.6,63.5,65.6,8.1,10.2,17.9,16.7,14.3,46.4
Morigaon,Assam,15.0,14.2,53.3,64.9,5.5,8.1,20.1,20.5,29.9,56.9
Lakhimpur,Assam,17.3,12.4,69.3,66.3,5.0,5.1,20.8,25.0,27.2,55.8
Dhemaji,Assam,12.1,15.6,73.1,62.9,4.9,9.2,16.0,24.1,26.2,62.7
Tinsukia,Assam,17.6,16.9,66.4,72.9,8.9,10.8,17.1,19.3,23.1,51.1
Dibrugarh,Assam,20.3,20.9,66.4,72.0,7.9,9.1,18.1,21.4,27.9,57.7
Golaghat,Assam,25.1,16.0,75.1,77.2,6.4,6.7,20.5,22.0,21.6,52.0
Dima Hasao,Assam,10.0,16.2,73.1,61.1,5.6,8.7,17.1,23.5,21.3,55.2
Cachar,Assam,19.7,9.1,61.8,58.2,6.4,7.3,17.0,15.4,33.2,51.0
Karimganj,Assam,17.8,6.6,64.1,52.5,6.3,8.5,16.5,17.2,43.0,54.2
Hailakandi,Assam,25.7,10.9,59.5,61.5,7.1,9.0,21.8,24.4,45.1,58.3
Bongaigaon,Assam,13.1,16.9,77.2,71.4,7.6,8.5,13.6,15.9,18.8,45.7
Chirang,Assam,17.2,13.3,70.4,65.7,5.7,8.9,20.8,25.6,18.6,55.1
Kamrup,Assam,12.9,23.5,72.9,71.7,7.1,9.3,22.2,19.2,14.3,44.7
Kamrup Metropolitan,Assam,12.6,21.3,80.4,75.2,8.3,7.8,17.0,20.3,11.8,39.9
Nalbari,Assam,16.4,21.8,71.0,66.9,8.0,9.7,22.5,24.9,11.7,42.0
Baksa,Assam,15.1,18.8,78.6,73.8,8.7,9.4,24.5,25.0,14.9,57.6
Darrang,Assam,17.4,13.3,66.8,71.4,7.0,8.3,16.7,14.5,10.2,43.0
Udalguri,Assam,16.1,14.0,77.6,82.2,6.6,9.4,19.7,22.6,12.2,50.8
Biswanath,Assam,22.0,10.6,79.8,65.1,5.5,5.7,23.5,28.4,27.8,61.6
Charaideo,Assam,24.7,10.3,69.7,72.6,7.1,8.8,18.2,17.9,25.4,57.9
Dhubri,Assam,22.2,12.4,73.1,63.0,4.6,5.9,18.2,19.0,21.8,55.0
Hojai,Assam,19.3,20.1,56.8,56.6,6.3,7.6,21.0,25.2,18.8,53.7
Jorhat,Assam,22.5,19.9,74.1,72.4,7.7,8.5,25.9,26.3,16.5,47.1
Karbi Anglong,Assam,10.0,15.7,67.5,59.5,6.5,8.5,20.1,22.8,20.5,55.0
Majuli,Assam,18.0,14.4,73.0,68.1,6.8,8.8,19.7,23.3,26.6,54.7
Nagaon,Assam,21.5,13.2,68.6,61.0,8.3,10.6,16.4,17.0,18.2,49.0
Sivasagar,Assam,20.5,21.5,67.5,68.0,7.9,7.7,22.0,26.0,25.5,58.4
Sonitpur,Assam,21.4,13.1,69.4,64.3,5.1,5.9,24.8,24.5,23.3,59.1
South Salmara Mancachar,Assam,11.9,8.5,69.6,58.2,5.3,7.1,15.5,16.5,25.2,50.0
West Karbi Anglong,Assam,13.1,9.4,79.0,58.8,6.0,8.6,17.0,22.2,20.2,58.2
Pashchim Champaran,Bihar,24.6,20.6,61.6,49.8,4.3,5.9,18.1,22.6,5.9,48.1
Purba Champaran,Bihar,23.4,16.3,61.0,57.1,5.3,8.1,16.2,23.6,7.6,55.2
Sheohar,Bihar,20.0,7.6,73.1,63.4,4.2,8.7,15.5,20.8,4.5,56.6
Sitamarhi,Bihar,31.8,13.9,70.0,61.8,6.2,8.8,17.8,17.9,6.4,55.4
Madhubani,Bihar,25.1,13.7,71.0,60.9,7.4,9.3,18.2,23.4,5.0,53.9
Supaul,Bihar,30.9,9.4,63.6,61.0,6.8,6.8,11.6,14.1,11.4,53.0
Araria,Bihar,30.4,9.9,75.8,67.7,6.9,10.1,12.1,15.8,12.3,53.2
Kishanganj,Bihar,29.1,11.6,67.5,64.9,5.6,7.8,17.4,22.7,11.6,50.4
Purnia,Bihar,31.4,14.4,68.0,65.1,6.9,8.9,18.7,22.5,6.2,47.3
Katihar,Bihar,26.4,13.1,65.6,68.9,6.5,9.1,17.0,17.8,6.1,49.2
Madhepura,Bihar,32.0,12.9,67.7,65.4,8.7,7.9,10.4,14.5,7.9,53.2
Saharsa,Bihar,31.0,12.8,69.3,65.7,6.6,9.0,14.9,15.5,10.7,54.9
Darbhanga,Bihar,25.6,13.4,68.9,61.3,6.4,10.1,17.5,23.5,5.6,55.1
Muzaffarpur,Bihar,25.2,16.5,64.6,58.7,6.9,6.9,18.1,24.0,7.2,51.5
Gopalganj,Bihar,22.7,17.9,56.1,53.8,4.7,5.0,20.3,22.8,5.2,47.8
Siwan,Bihar,18.1,23.3,63.9,53.0,3.4,8.3,19.6,29.6,4.6,44.1
Saran,Bihar,22.1,19.1,69.8,63.0,8.1,7.9,16.7,19.3,4.2,44.0
Vaishali,Bihar,26.1,16.9,77.1,62.9,6.5,8.1,17.4,19.6,3.9,46.3
Samastipur,Bihar,26.7,15.2,67.2,59.9,8.0,7.9,15.8,16.4,3.5,51.7
Begusarai,Bihar,26.0,17.6,74.5,63.2,6.8,9.1,13.9,17.0,4.0,49.6
Khagaria,Bihar,24.7,18.1,67.1,59.1,8.4,9.8,13.0,16.1,3.5,43.7
Bhagalpur,Bihar,22.9,19.4,78.7,73.7,7.5,8.5,13.3,14.7,2.4,47.3
Banka,Bihar,23.8,13.4,77.8,65.7,7.2,7.2,17.4,18.8,1.8,49.4
Munger,Bihar,23.7,20.9,74.3,71.3,9.8,11.6,16.1,18.3,2.5,40.9
Lakhisarai,Bihar,25.3,16.2,77.2,72.9,7.3,8.8,12.3,13.8,2.4,45.4
Sheikhpura,Bihar,24.1,13.3,80.1,69.7,5.7,5.8,16.3,16.1,2.1,45.0
Nalanda,Bihar,23.8,16.0,80.3,71.5,6.8,7.7,13.4,14.0,2.8,49.8
Patna,Bihar,22.6,21.5,65.4,67.3,7.6,10.0,16.1,14.8,2.1,39.9
Bhojpur,Bihar,23.1,20.8,67.7,73.9,6.8,9.6,13.9,14.5,2.4,43.7
Buxar,Bihar,21.1,16.6,68.3,67.0,7.1,6.6,13.9,10.5,1.8,42.2
Kaimur (Bhabua),Bihar,25.6,11.8,71.4,70.6,4.4,6.1,12.3,15.0,2.8,50.8
Rohtas,Bihar,22.9,19.8,70.3,65.6,5.3,7.4,15.2,16.0,1.0,40.6
Aurangabad,Bihar,25.8,10.0,68.4,60.9,6.5,8.9,16.2,15.3,3.3,46.7
Gaya,Bihar,26.8,10.8,76.7,64.3,4.2,7.4,16.6,18.8,3.7,51.9
Nawada,Bihar,28.4,15.7,73.3,70.1,4.9,5.8,14.5,18.5,2.9,47.9
Jamui,Bihar,31.0,12.7,81.9,76.2,5.4,8.2,12.6,14.8,2.8,53.6
Jehanabad,Bihar,27.2,14.3,61.9,67.8,6.9,9.0,13.4,12.0,5.5,49.1
Arwal,Bihar,31.9,12.4,65.8,66.6,6.3,9.3,12.9,14.0,2.4,47.9
Chandigarh,Chandigarh,13.0,44.0,54.6,60.1,6.0,7.1,25.0,30.6,0.6,12.1
Koriya,Chhattisgarh,25.1,17.3,56.3,65.0,7.5,7.1,25.7,30.9,17.5,44.4
Jashpur,Chhattisgarh,27.5,13.4,54.1,61.8,5.0,5.3,28.5,34.4,21.2,55.8
Raigarh,Chhattisgarh,26.9,14.9,62.7,62.5,4.0,6.3,26.1,31.9,19.1,43.6
Korba,Chhattisgarh,24.4,16.2,63.6,66.9,4.2,5.3,23.9,32.7,18.6,42.6
Janjgir - Champa,Chhattisgarh,21.5,12.8,74.1,66.6,4.1,5.1,21.6,28.3,14.8,40.4
Kabeerdham,Chhattisgarh,20.6,11.8,67.5,43.9,5.6,5.9,24.0,26.5,13.7,40.2
Rajnandgaon,Chhattisgarh,25.9,12.8,80.5,58.6,4.9,3.9,27.7,28.3,19.0,47.3
Mahasamund,Chhattisgarh,21.3,12.6,75.8,63.4,4.1,4.4,17.9,21.4,23.7,43.2
Dhamtari,Chhattisgarh,18.4,12.7,67.3,60.0,5.8,6.8,21.0,24.9,14.1,38.0
Uttar Bastar Kanker,Chhattisgarh,25.5,6.8,62.3,66.3,3.4,4.3,27.0,30.2,16.5,39.4
Narayanpur,Chhattisgarh,28.1,5.7,86.8,72.8,3.9,5.4,18.8,21.1,32.7,51.3
Bijapur,Chhattisgarh,43.6,6.0,77.2,72.9,4.4,4.3,15.0,21.6,44.4,61.9
Balod,Chhattisgarh,18.8,12.2,68.3,56.6,4.6,4.8,25.1,27.7,11.4,36.1
Baloda Bazar,Chhattisgarh,19.4,14.7,67.8,61.5,3.1,4.9,22.6,27.9,14.9,40.8
Balrampur,Chhattisgarh,28.7,9.9,50.1,63.2,4.1,5.5,25.2,31.2,21.4,53.2
Bastar,Chhattisgarh,34.9,8.7,80.7,77.1,4.6,4.7,23.7,24.1,36.4,55.8
Bemetara,Chhattisgarh,21.0,14.9,61.8,46.9,4.7,6.7,26.9,27.6,10.6,40.2
Bilaspur,Chhattisgarh,27.2,17.1,78.1,59.3,4.3,6.5,24.4,28.6,11.5,40.0
Dantewada,Chhattisgarh,25.9,6.8,89.9,76.7,5.8,7.4,19.1,23.7,38.1,55.7
Durg,Chhattisgarh,12.5,23.9,57.1,52.0,6.1,6.6,22.6,26.5,7.2,36.6
Gariyaband,Chhattisgarh,20.0,9.1,73.9,65.0,4.0,5.0,22.6,25.6,21.0,45.3
Kodagaon,Chhattisgarh,31.3,6.1,76.6,79.5,4.5,4.1,21.2,21.6,28.6,48.3
Mungeli,Chhattisgarh,20.9,17.5,62.0,54.6,4.8,5.4,26.2,29.2,13.7,37.6
Raipur,Chhattisgarh,14.4,15.7,74.6,59.8,4.0,4.5,17.7,20.6,10.9,37.5
Sukma,Chhattisgarh,34.5,3.8,91.4,79.0,4.3,4.5,14.5,18.1,44.5,61.7
Surajpur,Chhattisgarh,29.5,14.7,51.1,61.0,4.9,5.1,25.0,30.9,17.7,50.4
Surguja,Chhattisgarh,26.8,15.3,51.4,58.8,4.3,5.0,28.5,37.5,24.0,49.3
Diu,Dadra and Nagar Haveli & Daman and Diu,16.4,30.6,62.8,50.4,7.9,11.1,18.1,17.7,1.7,34.5
Daman,Dadra and Nagar Haveli & Daman and Diu,22.3,36.9,82.5,60.8,4.5,7.7,18.4,19.9,2.3,36.1
Dadra & Nagar Haveli,Dadra and Nagar Haveli & Daman and Diu,27.0,23.0,74.8,64.5,7.1,7.9,13.3,13.5,3.3,39.8
North Goa,Goa,14.1,37.2,55.2,40.2,7.9,9.7,27.3,28.3,2.7,19.2
South Goa,Goa,13.5,34.6,50.0,37.3,9.4,11.1,27.7,25.0,2.5,16.9
Kachchh,Gujarat,28.1,25.7,68.6,58.0,6.7,6.9,19.1,18.2,8.9,38.7
Banas Kantha,Gujarat,36.7,11.7,79.0,59.6,7.6,8.9,14.3,15.7,7.5,37.3
Patan,Gujarat,29.3,18.3,76.2,59.8,10.2,10.1,16.3,16.3,6.9,38.9
Mahesana,Gujarat,24.4,24.3,86.0,69.5,9.7,12.1,22.6,27.0,7.7,36.9
Gandhinagar,Gujarat,21.2,29.5,81.2,69.2,8.7,8.4,23.9,29.3,7.2,33.8
Porbandar,Gujarat,15.8,27.8,77.9,47.4,9.2,11.6,15.8,16.2,16.7,59.7
Amreli,Gujarat,18.3,29.1,72.0,50.3,8.3,8.0,18.0,11.5,5.0,53.7
Anand,Gujarat,32.0,20.9,78.4,66.6,9.8,8.4,26.6,26.9,7.3,35.8
Dohad,Gujarat,39.1,6.5,87.2,75.4,7.0,6.9,18.2,17.7,14.6,55.9
Narmada,Gujarat,30.7,11.1,93.2,75.9,6.3,6.6,19.2,20.8,14.6,48.8
Bharuch,Gujarat,30.3,25.5,81.0,71.6,7.6,10.2,23.7,24.9,11.2,35.1
The Dangs,Gujarat,33.7,8.1,82.4,77.6,4.1,4.8,22.9,24.1,18.5,44.8
Navsari,Gujarat,21.8,18.7,75.3,68.9,6.2,7.2,23.7,22.1,9.0,29.2
Valsad,Gujarat,23.8,21.3,87.6,75.8,7.3,6.8,23.8,29.3,5.3,32.3
Surat,Gujarat,21.0,25.1,83.6,69.3,6.8,9.3,23.4,22.6,7.7,32.5
Tapi,Gujarat,35.4,12.6,80.7,77.6,7.1,9.1,25.2,28.0,10.8,35.6
Ahmadabad,Gujarat,19.4,30.1,72.0,63.5,10.2,12.0,18.5,16.2,6.2,33.4
Aravali,Gujarat,34.4,18.1,89.5,77.1,6.7,7.9,21.0,22.0,9.6,45.8
Bhavnagar,Gujarat,20.8,29.4,71.5,49.1,8.8,6.8,20.1,18.0,9.7,50.9
Botad,Gujarat,19.6,27.3,75.5,59.1,8.8,8.7,12.5,12.0,5.3,48.9
Chhota Udaipur,Gujarat,30.9,7.6,87.7,79.1,6.3,7.3,19.4,17.5,8.9,47.7
Devbhumi Dwarka,Gujarat,22.4,24.1,66.7,48.8,6.4,6.5,18.1,17.3,24.2,60.6
Gir Somnath,Gujarat,24.8,17.3,68.9,49.6,6.2,7.2,14.0,12.3,18.9,60.7
Jamnagar,Gujarat,17.3,29.5,75.0,50.6,8.1,8.2,18.1,15.0,7.7,52.0
Junagadh,Gujarat,18.7,33.4,74.7,58.8,9.2,10.1,23.3,20.8,13.8,54.4
Kheda,Gujarat,32.2,17.8,85.1,76.2,8.5,9.0,24.0,24.5,13.5,45.8
Mahisagar,Gujarat,30.7,9.4,85.9,73.2,7.0,7.3,16.3,14.7,5.0,45.5
Morbi,Gujarat,21.2,24.6,75.3,50.7,9.7,10.4,18.4,15.1,7.3,54.7
Panch Mahals,Gujarat,33.1,16.1,91.0,69.5,8.2,8.6,22.5,27.6,7.8,42.2
Rajkot,Gujarat,19.5,28.0,77.0,60.6,7.7,8.5,17.8,14.5,7.2,53.4
Sabar Kantha,Gujarat,26.6,15.5,81.1,67.9,8.1,8.6,24.0,26.1,6.8,37.8
Surendranagar,Gujarat,24.1,20.7,81.0,55.4,8.5,11.3,17.1,14.7,4.7,47.5
Vadodara,Gujarat,20.9,27.6,86.4,72.6,7.8,6.5,24.3,23.8,6.8,29.1
Panchkula,Haryana,14.1,39.9,53.1,57.4,6.2,8.0,24.3,26.2,0.9,19.5
Ambala,Haryana,14.8,41.6,64.2,46.5,4.0,5.3,28.8,31.2,0.8,22.0
Yamunanagar,Haryana,14.0,38.0,72.9,56.3,5.7,6.7,28.7,28.8,1.7,25.3
Kurukshetra,Haryana,11.8,37.3,73.7,57.5,4.8,5.1,30.4,34.4,1.3,24.3
Kaithal,Haryana,16.5,32.7,61.4,62.5,8.7,9.6,16.9,20.4,1.7,22.6
Karnal,Haryana,14.9,36.5,78.3,62.1,3.5,3.7,17.6,21.2,2.6,26.6
Panipat,Haryana,13.7,37.8,73.4,66.8,4.9,5.1,21.6,25.6,4.6,27.3
Sonipat,Haryana,13.2,39.3,68.7,53.0,6.2,6.5,20.0,21.9,2.9,30.7
Jind,Haryana,18.9,32.3,68.9,59.5,6.1,7.5,16.5,21.9,2.5,35.3
Fatehabad,Haryana,19.8,29.8,59.3,62.5,6.6,7.4,17.5,20.1,0.8,23.5
Sirsa,Haryana,20.8,29.3,70.1,62.1,6.2,10.3,19.9,26.8,1.1,21.7
Hisar,Haryana,18.5,30.2,70.5,64.0,7.1,8.2,19.4,28.6,1.8,34.5
Rohtak,Haryana,15.9,35.9,76.2,64.8,6.6,7.0,20.7,24.5,2.8,30.5
Jhajjar,Haryana,10.1,43.5,76.9,59.9,5.1,5.3,21.0,26.8,2.6,34.1
Mahendragarh,Haryana,14.3,29.5,72.3,61.2,5.0,5.6,21.6,25.8,2.3,32.9
Rewari,Haryana,11.7,28.3,71.3,61.9,4.0,5.2,24.1,26.5,4.4,33.5
Gurgaon,Haryana,9.0,24.3,67.7,68.0,7.4,9.8,16.5,22.4,2.9,32.6
Mewat,Haryana,19.2,14.9,76.4,61.1,2.9,5.1,15.5,19.2,4.7,36.5
Faridabad,Haryana,10.0,37.1,68.4,54.8,3.8,5.1,23.3,26.2,2.7,23.0
Palwal,Haryana,15.8,27.4,71.6,57.2,3.1,5.3,21.9,23.2,7.0,30.9
Bhiwani,Haryana,19.5,28.1,69.2,66.8,5.4,6.2,18.7,24.8,1.8,34.6
Charkhi Dadri,Haryana,17.0,28.8,67.2,73.1,5.2,6.7,20.6,22.9,1.9,38.3
Chamba,Himachal Pradesh,14.6,23.2,46.5,43.9,5.4,6.1,17.8,23.2,2.5,40.3
Kangra,Himachal Pradesh,15.2,31.0,55.3,63.7,7.4,6.0,24.9,26.6,1.2,32.9
Lahul & Spiti,Himachal Pradesh,9.9,26.9,91.0,82.3,4.1,4.3,15.0,19.2,1.7,33.5
Kullu,Himachal Pradesh,11.0,29.8,75.3,53.7,3.9,4.7,17.4,20.6,1.4,33.6
Mandi,Himachal Pradesh,12.8,31.6,52.2,49.0,6.9,8.1,20.8,23.8,1.4,31.7
Hamirpur,Himachal Pradesh,17.2,37.1,52.0,49.4,7.5,8.0,28.1,35.2,0.7,33.0
Una,Himachal Pradesh,16.3,41.2,58.7,60.8,8.3,8.1,27.1,27.2,0.8,31.0
Bilaspur,Himachal Pradesh,17.5,29.1,44.8,53.4,9.3,9.8,22.1,20.3,1.8,33.3
Solan,Himachal Pradesh,11.9,29.7,50.4,48.4,5.1,6.2,21.7,22.3,2.9,29.0
Sirmaur,Himachal Pradesh,16.1,23.2,58.5,50.2,4.5,4.5,19.1,20.8,4.1,27.3
Shimla,Himachal Pradesh,9.9,28.4,59.1,46.7,4.8,7.7,19.9,23.5,1.5,31.7
Kinnaur,Himachal Pradesh,9.9,26.4,75.6,52.2,3.5,4.0,18.5,22.8,2.0,44.1
Kupwara,Jammu & Kashmir,5.1,21.3,78.8,75.6,3.6,4.7,18.1,18.9,6.8,49.8
Badgam,Jammu & Kashmir,4.7,25.3,85.0,75.0,2.9,3.1,19.9,18.6,5.4,42.9
Punch,Jammu & Kashmir,6.8,16.2,54.3,56.3,3.0,3.2,17.9,16.3,2.3,38.8
Rajouri,Jammu & Kashmir,4.8,22.7,76.4,62.0,4.7,5.4,16.5,13.8,3.2,44.8
Kathua,Jammu & Kashmir,5.3,38.2,67.0,55.2,7.8,9.1,18.9,23.6,2.1,33.3
Baramula,Jammu & Kashmir,10.6,31.1,70.4,73.1,4.5,3.8,23.7,19.0,6.5,34.7
Bandipore,Jammu & Kashmir,10.4,28.2,75.1,74.3,2.9,3.5,21.4,17.4,9.1,40.1
Srinagar,Jammu & Kashmir,3.5,27.8,77.0,52.5,3.5,2.6,20.1,18.1,1.9,36.5
Ganderbal,Jammu & Kashmir,7.7,34.2,89.8,77.9,4.2,4.3,21.5,19.1,6.3,36.3
Pulwama,Jammu & Kashmir,2.9,37.9,67.4,74.7,2.9,1.7,22.6,19.1,3.3,41.2
Shupiyan,Jammu & Kashmir,2.0,27.6,57.1,65.5,3.0,2.9,15.1,14.2,5.0,47.0
Anantnag,Jammu & Kashmir,4.1,28.6,79.2,75.7,5.0,5.3,20.0,19.4,2.9,47.0
Kulgam,Jammu & Kashmir,2.1,25.9,77.7,77.5,3.4,3.6,25.8,19.9,3.3,37.7
Doda,Jammu & Kashmir,5.0,31.3,80.7,67.9,4.4,4.5,23.1,21.5,3.2,37.1
Ramban,Jammu & Kashmir,7.6,15.8,62.0,61.7,5.8,3.7,17.5,15.7,2.8,36.4
Kishtwar,Jammu & Kashmir,5.1,24.9,88.5,86.2,2.9,3.5,13.2,13.3,3.5,41.3
Udhampur,Jammu & Kashmir,4.0,29.3,70.4,57.3,6.1,5.8,20.1,18.3,4.7,45.2
Reasi,Jammu & Kashmir,4.3,22.7,69.7,65.1,4.2,3.8,15.4,17.6,4.0,41.7
Jammu,Jammu & Kashmir,4.2,38.3,68.4,68.2,3.6,3.5,20.5,22.6,0.8,25.7
Samba,Jammu & Kashmir,3.6,36.5,69.0,63.6,4.8,5.7,21.1,21.5,3.0,38.9
Garhwa,Jharkhand,28.8,13.6,62.5,62.9,7.0,7.1,18.3,23.4,4.8,46.7
Chatra,Jharkhand,32.2,10.4,62.6,55.9,4.8,7.3,16.0,22.1,6.4,49.7
Kodarma,Jharkhand,29.9,12.4,60.0,65.1,6.3,10.7,13.8,20.6,1.4,37.3
Giridih,Jharkhand,27.3,7.8,62.8,65.2,5.5,7.8,17.4,23.9,4.4,44.8
Deoghar,Jharkhand,32.5,10.9,73.9,70.1,4.9,7.3,14.2,18.5,6.6,52.0
Godda,Jharkhand,23.6,10.7,75.1,66.3,6.7,7.1,18.6,20.2,2.7,45.1
Sahibganj,Jharkhand,28.5,14.3,72.6,72.1,6.8,8.0,15.0,16.6,4.7,47.2
